Song_name,Album_name
Mun Sellada,Manithan (Original Motion Picture Soundtrack)
Pouraadalaam,M.S.Dhoni - The Untold Story
Edhirthu Nill,Biriyani (Original Motion Picture Soundtrack)
"Idhuvum Kadandhu Pogum (The Healing Song) (From ""Netrikann"")","Idhuvum Kadandhu Pogum (The Healing Song) [From ""Netrikann""]"
