Song_name,Album_name
Jodi Nilave - The Pain of Tamizh,Thangamagan (Original Motion Picture Soundtrack)
Kaatrodu Pattam Pola,"Kaatrodu Pattam Pola (From ""Ayothi"")"
Idhu Varai,Goa (Original Motion Picture Soundtrack)
"Idhuvum Kadandhu Pogum (The Healing Song) (From ""Netrikann"")","Idhuvum Kadandhu Pogum (The Healing Song) [From ""Netrikann""]"
Kanave Kanave,David
Yenga Pona Raasa,Maryan (Original Motion Picture Soundtrack)
Po Nee Po - The Pain of Love,3 (Original Motion Picture Soundtrack)
Vizhigalil Oru Vaanavil,Deiva Thiirumagal (Original Motion Picture Soundtrack)
Pogathey,DADA (Original Motion Picture Soundtrack)
Thaabangale,96 (Original Motion Picture Soundtrack)
"Agasatha - From ""Cuckoo""",I Love Pradeep Kumar
"Thala Kodhum (From ""Jai Bhim"")","Thala Kodhum (From ""Jai Bhim"")"
Nee Nenacha,Mr. Local (Original Motion Picture Soundtrack)
"Naan Pizhai (From ""Kaathuvaakula Rendu Kaadhal"")","Naan Pizhai (From ""Kaathuvaakula Rendu Kaadhal"")"
Pogadhe,Deepavali (Original Motion Picture Soundtrack)
Thodu Vaanam,Anegan (Original Motion Picture Soundtrack)
"Thenmozhi (From ""Thiruchitrambalam"")","Thenmozhi (From ""Thiruchitrambalam"")"
Ennai Kollathey,Geethaiyin Raadhai
"Marandhaye - From ""Teddy""","Marandhaye (From ""Teddy"")"
"Ninaithu Ninaithu (From ""7/G Rainbow Colony"")","Hits of Yuvan Shankar Raja, Vol.2"
Yaen Ennai Pirindhaai - Male,Adithya Varma
Kanneer Sindha,Thiruchitrambalam (Original Motion Picture Soundtrack)
Dysfunctional Home - Instrumental,Thiruchitrambalam (Original Motion Picture Soundtrack)
Shobana Leaves - Instrumental,Thiruchitrambalam (Original Motion Picture Soundtrack)
Thaangaadha Baaram - Instrumental,Thiruchitrambalam (Original Motion Picture Soundtrack)
